discipline,primary_reason,learner_type,expected_hours_week,LoE_DI,age_DI,nevents,explored,grade_reqs,nforum_posts,course_length,ndays_act,completed_%,grade
5.0,0.0,0.0,0.0,0.0,0.0,118.0,1,1,0.0,146,2.0,0.026,0.073
2.0,2.0,3.0,4.0,5.0,1.0,173.0,0,0,9.0,55,7.0,0.0,0.988
4.0,6.0,5.0,3.0,6.0,1.0,268.0,0,1,0.0,16,9.0,0.048,1.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,63,0.0,0.0,0.08
5.0,0.0,0.0,0.0,0.0,0.0,953.0,1,1,6.0,47,2.0,,0.5
8.0,6.0,1.0,4.0,1.0,3.0,0.0,0,0,0.0,70,0.0,0.0,1.0
2.0,3.0,3.0,4.0,2.0,1.0,180.0,0,1,13.0,55,8.0,0.0,0.988
2.0,0.0,0.0,0.0,0.0,0.0,591.0,1,1,10.0,35,9.0,,0.969
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,63,3.0,,0.129
5.0,0.0,0.0,0.0,0.0,0.0,2592.0,1,1,0.0,146,17.0,,0.397
8.0,0.0,0.0,0.0,0.0,0.0,19203.0,0,1,0.0,63,41.0,,0.979
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,41,0.0,,0.134
5.0,0.0,0.0,0.0,0.0,0.0,609.0,0,1,5.0,47,1.0,,0.571
5.0,0.0,0.0,0.0,0.0,0.0,1283.0,1,1,0.0,146,19.0,0.0,0.658
6.0,6.0,3.0,5.0,3.0,2.0,237.0,0,0,0.0,43,6.0,0.0,0.125
6.0,6.0,3.0,3.0,3.0,2.0,363.0,0,1,27.0,27,9.0,0.0,0.756
4.0,3.0,6.0,3.0,7.0,2.0,0.0,0,0,11.0,58,0.0,0.0,1.0
8.0,6.0,4.0,4.0,1.0,3.0,3.0,0,0,0.0,42,1.0,0.0,0.807
4.0,6.0,5.0,2.0,2.0,3.0,0.0,0,0,0.0,42,0.0,0.0,0.154
5.0,0.0,0.0,0.0,0.0,0.0,19.0,0,1,0.0,146,1.0,0.0,0.073
8.0,0.0,0.0,0.0,0.0,0.0,184.0,0,0,0.0,55,6.0,,0.196
8.0,0.0,0.0,0.0,0.0,0.0,231.0,0,1,0.0,63,6.0,,0.25
8.0,0.0,0.0,0.0,0.0,0.0,3829.0,0,1,1.0,63,18.0,,0.65
2.0,0.0,0.0,0.0,0.0,0.0,400.0,0,1,0.0,363,21.0,,0.752
4.0,6.0,1.0,2.0,3.0,2.0,24.0,0,0,0.0,39,2.0,0.0,0.065
5.0,6.0,1.0,3.0,7.0,1.0,0.0,0,0,0.0,133,0.0,0.0,0.097
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,55,1.0,,0.016
3.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,55,2.0,,0.172
8.0,0.0,0.0,0.0,0.0,0.0,2742.0,0,1,3.0,63,46.0,,1.0
4.0,6.0,4.0,3.0,2.0,2.0,4.0,0,0,1.0,42,3.0,0.0,0.487
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1.0,27,6.0,,0.307
8.0,6.0,4.0,3.0,6.0,1.0,0.0,0,0,2.0,70,0.0,0.083,0.804
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,143,0.0,0.0,0.429
4.0,0.0,0.0,0.0,0.0,0.0,375.0,0,0,13.0,49,17.0,,0.577
7.0,3.0,1.0,3.0,3.0,2.0,487.0,0,1,1.0,60,16.0,0.0,0.966
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,63,7.0,,0.107
9.0,0.0,0.0,0.0,0.0,0.0,187.0,0,1,0.0,48,8.0,,0.073
5.0,0.0,0.0,0.0,0.0,0.0,185.0,0,1,1.0,47,1.0,,0.571
9.0,0.0,0.0,0.0,0.0,0.0,98.0,0,1,0.0,48,9.0,,0.919
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3.0,41,4.0,,0.95
